Team;GP;MPG;PPG;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;ORB;DRB;RPG;APG;SPG;BPG;TOV;PF;Season
Cleveland;82;48.4;96.5;36.5;81.5;.447;3.7;11.0;.332;19.9;26.5;.752;13.6;28.7;42.3;22.6;8.0;5.6;13.9;22.6;2004-2005
San Antonio;82;48.3;96.2;35.6;78.7;.453;6.2;17.0;.363;18.7;25.9;.724;12.0;30.4;42.4;21.6;7.5;6.6;13.7;20.9;2004-2005
L.A. Clippers;82;48.9;95.7;35.7;77.7;.459;2.8;8.2;.345;21.6;27.7;.778;12.0;29.9;41.9;23.2;7.3;5.1;15.7;22.2;2004-2005
Houston;82;48.4;95.1;34.7;78.3;.443;6.7;18.5;.364;18.9;24.2;.781;10.7;31.7;42.4;21.1;6.9;4.6;13.9;22.0;2004-2005
Chicago;82;48.4;94.5;34.7;80.4;.432;6.2;17.5;.357;18.7;25.0;.750;12.2;31.6;43.8;21.3;7.0;4.5;16.7;24.7;2004-2005
Charlotte;82;48.5;94.3;36.1;83.6;.432;3.9;10.7;.363;18.1;25.6;.709;13.2;28.5;41.7;21.9;8.5;5.4;14.5;23.1;2004-2005
Memphis;82;48.1;93.4;34.2;76.5;.447;6.5;18.1;.357;18.6;24.7;.754;10.8;28.1;39.0;20.9;8.5;5.8;14.6;23.3;2004-2005
Detroit;82;48.7;93.3;34.8;78.3;.444;4.4;12.8;.345;19.4;26.2;.739;12.9;30.6;43.4;21.8;7.0;6.1;13.8;20.0;2004-2005
Indiana;82;48.5;93.0;32.5;75.2;.432;6.6;19.2;.344;21.3;26.9;.792;10.6;29.5;40.1;18.2;7.5;4.4;14.3;23.0;2004-2005
Utah;82;48.2;93.0;34.5;76.8;.449;3.0;9.3;.328;21.0;27.7;.757;12.8;27.4;40.1;22.3;6.6;4.6;15.7;26.7;2004-2005
Portland;82;48.1;92.9;35.3;78.3;.451;5.1;14.2;.362;17.2;23.7;.725;11.8;29.3;41.1;21.0;7.1;6.6;15.9;20.8;2004-2005
Atlanta;82;48.4;92.7;35.9;81.4;.441;3.7;11.9;.312;17.3;24.3;.711;13.4;28.5;41.9;19.7;7.7;4.2;16.1;24.5;2004-2005
New Jersey;82;48.5;91.4;33.6;78.3;.429;5.3;14.7;.362;19.0;24.9;.763;10.4;29.1;39.5;21.6;7.9;3.8;14.1;24.2;2004-2005
New Orleans;82;48.6;88.4;33.1;80.0;.415;5.1;16.0;.315;17.1;22.3;.766;12.4;27.8;40.2;21.0;6.7;3.8;14.8;23.0;2004-2005
Dallas;82;48.3;105.2;40.5;88.2;.459;6.2;17.8;.348;18.0;22.6;.796;14.3;31.0;45.3;23.9;8.0;5.3;12.1;19.6;2003-2004
Sacramento;82;48.2;102.8;37.8;81.8;.462;7.3;18.3;.401;19.8;24.9;.795;10.8;30.4;41.2;26.2;8.7;4.0;13.7;19.3;2003-2004
L.A. Lakers;82;48.4;98.2;36.9;81.4;.454;4.5;13.6;.327;19.9;28.7;.693;12.2;30.9;43.1;23.8;8.3;4.6;13.7;21.1;2003-2004
Milwaukee;82;48.2;98.0;36.2;81.1;.447;4.9;14.0;.350;20.7;26.7;.775;11.7;30.5;42.2;22.8;6.8;4.7;13.5;20.3;2003-2004
Denver;82;48.1;97.2;36.5;82.5;.443;4.0;12.0;.336;20.2;26.3;.767;13.2;29.1;42.3;21.9;9.1;6.3;15.4;22.0;2003-2004
Seattle;82;48.3;97.1;35.8;80.4;.446;8.8;23.6;.373;16.6;21.7;.765;11.1;28.3;39.3;21.7;8.1;4.7;14.2;21.8;2003-2004
Memphis;82;48.5;96.7;36.1;81.2;.445;5.5;16.0;.340;19.0;26.1;.727;12.8;29.0;41.8;23.4;9.7;6.9;14.8;23.2;2003-2004
Boston;82;48.1;95.3;34.7;78.2;.443;6.7;19.5;.346;19.2;25.5;.750;10.4;29.8;40.1;20.5;9.4;4.0;16.1;22.4;2003-2004
L.A. Clippers;82;48.3;94.8;34.4;80.2;.428;4.0;12.5;.321;22.0;28.1;.785;14.0;29.5;43.5;20.2;7.2;4.6;16.1;22.1;2003-2004
Minnesota;82;48.2;94.5;37.0;80.1;.462;4.0;10.9;.363;16.6;21.3;.781;10.7;32.3;42.9;23.0;6.8;5.6;12.7;21.1;2003-2004
Phoenix;82;48.1;94.2;36.1;81.4;.443;5.1;14.7;.345;17.0;22.7;.746;11.3;29.3;40.6;19.3;9.0;4.7;15.1;22.7;2003-2004
Orlando;82;48.4;94.0;35.4;82.5;.429;5.2;15.2;.344;18.0;24.4;.737;12.2;28.7;40.9;19.3;6.7;3.8;13.4;21.3;2003-2004
Golden State;82;48.4;93.3;35.1;79.4;.442;5.2;15.6;.334;17.9;24.7;.725;12.2;30.9;43.1;20.5;7.0;4.7;14.6;20.6;2003-2004
Cleveland;82;48.4;92.9;35.6;82.4;.433;3.0;9.6;.314;18.6;24.8;.753;13.6;31.9;45.6;22.0;7.1;6.5;14.8;21.3;2003-2004
Atlanta;82;48.5;92.8;34.5;79.6;.433;5.1;15.2;.335;18.7;24.1;.776;12.1;30.6;42.7;20.1;7.6;5.0;16.1;22.3;2003-2004
New York;82;48.5;92.0;35.1;79.4;.442;5.0;13.6;.364;16.8;21.1;.793;11.6;31.0;42.6;20.7;7.4;4.8;15.7;23.1;2003-2004
New Orleans;82;48.4;91.8;33.8;80.5;.420;6.5;20.3;.319;17.7;23.6;.751;13.3;29.5;42.8;20.9;8.6;4.2;14.8;20.9;2003-2004
Washington;82;48.4;91.8;33.6;80.0;.421;5.3;15.5;.341;19.3;27.0;.714;13.6;29.2;42.8;18.7;8.9;5.0;17.2;20.9;2003-2004
San Antonio;82;48.2;91.5;34.7;78.5;.442;5.0;13.9;.358;17.2;25.2;.681;12.5;32.5;45.1;20.4;8.1;6.5;14.5;20.3;2003-2004
Indiana;82;48.3;91.4;33.6;77.1;.435;5.5;15.6;.351;18.8;24.6;.764;11.8;29.9;41.7;21.6;8.9;5.0;14.2;20.8;2003-2004
Portland;82;48.7;90.7;35.3;78.9;.448;4.6;13.4;.346;15.4;21.1;.731;12.7;29.0;41.7;21.6;7.5;5.4;14.5;19.0;2003-2004
Miami;82;48.2;90.3;33.3;78.3;.425;5.9;16.5;.357;17.8;23.4;.762;11.5;30.0;41.5;19.1;7.2;3.8;13.7;22.1;2003-2004
New Jersey;82;48.1;90.3;34.3;77.7;.441;4.6;13.7;.336;17.0;22.6;.753;10.5;30.2;40.7;24.5;8.6;3.9;14.6;21.0;2003-2004
Detroit;82;48.2;90.1;33.5;77.0;.435;4.1;11.8;.344;19.0;25.3;.753;12.4;30.4;42.8;20.8;8.0;7.0;14.9;20.3;2003-2004
Houston;82;48.6;89.8;33.4;75.5;.442;6.3;17.1;.366;16.7;21.6;.773;10.3;32.3;42.6;19.3;6.8;5.4;16.4;21.5;2003-2004
Chicago;82;48.4;89.7;34.1;82.4;.414;5.2;15.3;.342;16.2;22.4;.725;12.8;30.7;43.5;21.9;8.0;4.8;16.0;23.3;2003-2004
Utah;82;48.2;88.7;32.8;75.3;.436;3.1;9.6;.321;20.0;26.8;.746;13.5;27.7;41.2;20.4;7.1;6.0;16.1;25.6;2003-2004
Philadelphia;82;48.4;88.0;32.7;76.3;.428;4.1;12.1;.342;18.4;24.5;.753;11.5;29.4;40.8;20.0;8.0;4.4;15.7;20.7;2003-2004
Toronto;82;48.7;85.4;32.4;77.4;.418;5.6;15.8;.356;15.1;20.1;.750;10.1;29.5;39.6;19.2;7.4;4.9;13.9;21.3;2003-2004
Dallas;82;48.2;103.0;38.5;85.1;.453;7.8;20.3;.381;18.1;21.9;.829;11.1;31.0;42.1;22.4;8.1;5.5;11.6;21.1;2002-2003
Golden State;82;48.2;102.4;37.3;84.6;.441;5.2;15.1;.344;22.6;29.0;.778;15.7;31.0;46.7;20.9;7.2;6.2;15.8;21.8;2002-2003
Sacramento;82;48.4;101.7;39.5;85.2;.464;6.0;15.7;.381;16.7;22.3;.746;11.0;33.5;44.5;24.8;9.0;5.6;14.7;20.3;2002-2003
L.A. Lakers;82;48.6;100.4;37.7;83.6;.451;5.9;16.7;.356;19.0;26.0;.734;13.1;31.1;44.3;23.3;7.8;5.7;14.5;22.9;2002-2003
Milwaukee;82;48.5;99.5;37.1;81.3;.457;7.1;18.6;.383;18.1;23.3;.776;10.7;28.9;39.5;22.2;7.6;4.2;12.7;22.2;2002-2003
Orlando;82;48.3;98.5;35.9;82.5;.436;6.9;19.4;.357;19.7;25.4;.777;11.7;29.2;40.9;20.4;8.5;3.7;14.4;23.0;2002-2003
Minnesota;82;48.3;98.1;38.7;83.0;.466;3.6;9.8;.368;17.1;22.3;.770;11.7;31.9;43.6;25.2;6.7;5.3;13.7;20.8;2002-2003
Memphis;82;48.6;97.5;37.2;82.2;.452;5.7;15.6;.365;17.4;23.6;.739;11.5;30.1;41.6;23.1;7.9;6.1;15.4;20.5;2002-2003
Philadelphia;82;48.4;96.8;36.3;81.0;.448;3.0;9.6;.311;21.3;27.5;.775;12.7;29.5;42.2;21.6;10.3;3.5;14.8;22.0;2002-2003
Indiana;82;48.5;96.8;35.5;80.6;.441;4.6;13.6;.339;21.2;27.7;.766;12.2;32.0;44.2;23.3;8.5;5.4;14.9;22.1;2002-2003
New York;82;48.4;95.9;36.2;82.0;.441;7.4;19.3;.383;16.1;19.8;.815;10.3;29.0;39.2;22.0;7.1;3.1;14.0;23.0;2002-2003
San Antonio;82;48.4;95.8;35.5;76.8;.462;5.5;15.5;.354;19.4;26.8;.725;11.5;31.2;42.6;20.0;7.7;6.5;15.8;20.4;2002-2003
Phoenix;82;48.3;95.5;36.6;82.6;.443;4.8;14.0;.343;17.4;23.5;.742;12.8;29.8;42.5;21.0;8.1;4.9;14.7;22.0;2002-2003
New Jersey;82;48.2;95.4;35.4;80.3;.441;4.2;12.7;.332;20.3;26.8;.757;12.1;30.8;42.9;23.0;8.7;4.6;14.8;21.6;2002-2003
Portland;82;48.4;95.2;36.4;79.2;.460;4.6;14.0;.330;17.7;23.7;.745;12.1;29.0;41.1;22.7;8.8;3.9;15.3;19.9;2002-2003
Chicago;82;48.6;95.0;36.5;81.9;.445;4.3;12.2;.350;17.7;24.6;.722;12.0;31.0;43.0;21.7;7.4;5.6;16.9;24.7;2002-2003
Utah;82;48.2;94.7;35.3;75.5;.468;2.7;7.8;.349;21.3;28.6;.745;12.5;29.0;41.5;25.6;8.6;5.7;16.8;22.4;2002-2003
Atlanta;82;48.5;94.1;34.9;78.5;.444;4.9;13.9;.352;19.4;24.5;.793;11.4;31.2;42.6;20.5;7.5;5.8;16.7;21.7;2002-2003
New Orleans;82;48.5;93.9;35.5;81.6;.435;4.9;13.1;.376;17.9;23.3;.768;13.4;30.2;43.6;22.0;8.0;4.8;14.9;21.6;2002-2003
L.A. Clippers;82;48.2;93.8;34.6;79.1;.437;4.8;14.4;.331;19.9;26.5;.750;12.3;30.0;42.3;19.6;7.0;5.6;15.7;21.8;2002-2003
Houston;82;48.6;93.8;34.6;78.8;.440;5.4;15.5;.346;19.1;24.9;.768;12.5;31.3;43.8;18.4;7.2;6.0;15.6;19.5;2002-2003
Boston;82;48.4;92.7;32.9;79.4;.415;8.8;26.3;.334;18.0;24.3;.742;10.4;30.1;40.5;19.2;8.8;3.7;14.0;21.4;2002-2003
Seattle;82;48.4;92.1;35.2;80.5;.437;5.6;15.7;.353;16.2;21.7;.744;11.7;29.1;40.8;21.6;8.3;3.6;13.2;20.9;2002-2003
Washington;82;48.4;91.5;34.3;78.0;.440;3.1;9.9;.312;19.7;25.3;.779;11.2;29.2;40.4;19.7;7.6;4.8;13.4;20.0;2002-2003
Cleveland;82;48.4;91.4;34.8;82.3;.422;3.6;10.9;.327;18.3;24.5;.747;13.6;31.0;44.6;20.9;7.8;6.4;18.5;22.7;2002-2003
Detroit;82;48.5;91.4;32.9;76.5;.430;6.5;18.1;.358;19.0;24.6;.771;10.8;29.8;40.6;19.8;6.8;5.7;13.5;21.3;2002-2003
Toronto;82;48.3;90.9;34.7;81.3;.427;5.0;14.5;.343;16.5;22.9;.718;12.5;28.7;41.2;19.3;7.4;4.8;14.4;21.5;2002-2003
Miami;82;48.4;85.6;32.8;79.5;.412;4.2;13.4;.316;15.8;20.6;.765;11.6;30.0;41.6;18.3;7.2;4.0;14.4;22.6;2002-2003
Denver;82;48.1;84.2;32.8;79.8;.411;2.8;10.0;.278;15.8;22.6;.699;13.6;28.8;42.4;21.2;8.7;5.1;18.5;25.1;2002-2003
Dallas;82;48.5;105.2;39.0;84.5;.462;7.6;20.1;.378;19.6;24.3;.806;11.2;31.3;42.5;22.1;7.1;4.7;12.2;22.5;2001-2002
Sacramento;82;48.2;104.6;39.8;85.4;.467;5.2;14.1;.367;19.7;26.3;.751;12.4;33.0;45.3;23.9;9.0;4.6;13.8;19.0;2001-2002
L.A. Lakers;82;48.2;101.3;38.4;83.4;.461;6.2;17.5;.354;18.2;26.1;.699;12.5;31.8;44.3;23.0;7.6;5.8;12.7;22.2;2001-2002
Orlando;82;48.4;100.5;37.6;84.1;.448;7.6;20.2;.373;17.6;23.4;.754;11.5;29.8;41.2;22.0;8.1;4.7;13.6;20.7;2001-2002
Minnesota;82;48.3;99.3;38.7;84.0;.461;4.8;12.8;.378;17.1;21.4;.798;12.9;31.2;44.2;24.3;6.4;5.2;13.4;21.2;2001-2002
Seattle;82;48.4;97.7;38.2;81.5;.469;6.0;15.8;.378;15.4;20.4;.755;11.8;28.5;40.3;23.5;8.5;4.4;13.7;21.1;2001-2002
Golden State;82;48.2;97.7;36.6;85.2;.429;3.9;12.1;.322;20.6;28.6;.722;16.3;30.4;46.7;20.8;7.9;6.4;16.8;23.0;2001-2002
Milwaukee;82;48.5;97.5;37.1;80.2;.462;7.2;19.3;.375;16.1;21.5;.748;10.3;31.2;41.4;22.5;7.3;4.7;14.1;21.8;2001-2002
Indiana;82;48.5;96.8;35.8;80.2;.446;4.9;14.6;.339;20.3;26.3;.772;11.3;31.3;42.7;23.0;8.0;5.3;15.2;22.9;2001-2002
San Antonio;82;48.4;96.7;35.5;77.6;.458;5.3;14.8;.362;20.3;27.4;.742;11.1;31.3;42.4;20.0;7.6;6.5;14.4;19.2;2001-2002
Portland;82;48.4;96.6;36.6;81.4;.450;5.7;16.1;.354;17.7;23.2;.763;13.2;29.8;43.0;23.5;8.6;4.5;14.3;19.6;2001-2002
Boston;82;48.4;96.4;34.8;82.1;.424;8.5;23.7;.359;18.3;23.9;.764;10.9;31.3;42.2;21.0;9.7;3.6;13.6;21.6;2001-2002
New Jersey;82;48.4;96.2;37.1;83.1;.446;4.9;14.6;.338;17.1;23.3;.735;12.7;30.7;43.3;24.3;8.7;6.0;14.5;21.2;2001-2002
Utah;82;48.4;96.0;35.0;77.7;.450;3.4;10.3;.333;22.6;29.6;.763;13.5;28.6;42.2;24.4;9.1;6.4;16.5;24.0;2001-2002
L.A. Clippers;82;48.3;95.7;36.2;81.3;.445;5.0;14.0;.356;18.3;24.7;.739;13.2;30.2;43.4;20.9;6.2;6.6;14.8;19.8;2001-2002
Cleveland;82;48.4;95.3;36.0;80.3;.448;4.7;12.5;.377;18.6;24.1;.772;11.8;30.3;42.1;23.1;7.0;5.7;14.6;21.3;2001-2002
Phoenix;82;48.4;95.1;37.8;84.6;.447;4.4;13.4;.327;15.2;19.9;.767;13.1;29.6;42.7;22.4;8.1;4.9;14.7;21.7;2001-2002
Detroit;82;48.0;94.3;34.7;76.8;.452;6.9;18.4;.376;18.0;23.8;.756;9.9;28.9;38.8;21.5;7.9;6.9;14.5;20.7;2001-2002
Atlanta;82;48.2;94.0;35.4;80.6;.439;5.2;14.6;.354;18.1;23.7;.765;11.6;29.8;41.5;20.2;8.1;4.3;15.5;20.7;2001-2002
Charlotte;82;48.2;93.9;35.3;80.2;.440;4.2;12.1;.348;19.1;25.7;.745;12.9;30.5;43.5;21.5;8.0;5.6;14.0;21.3;2001-2002
Washington;82;48.1;92.8;35.8;81.3;.441;3.7;9.6;.388;17.4;22.8;.765;12.9;29.2;42.0;20.9;7.0;4.3;13.0;21.5;2001-2002
Houston;82;48.7;92.3;34.6;80.8;.428;6.0;18.0;.335;17.1;23.1;.741;12.5;29.4;41.9;18.1;6.5;5.4;14.3;17.9;2001-2002
Denver;82;48.3;92.2;35.5;83.8;.424;5.2;15.7;.329;15.9;21.4;.744;13.6;28.2;41.8;22.2;7.5;5.6;14.7;22.8;2001-2002
New York;82;48.3;91.6;34.4;79.5;.432;5.8;16.4;.353;17.1;21.8;.787;10.7;30.0;40.7;21.0;6.8;3.5;14.5;21.9;2001-2002
Toronto;82;48.2;91.4;35.6;82.0;.434;4.7;13.5;.349;15.5;20.9;.739;13.6;28.5;42.1;21.7;8.4;5.5;14.3;21.6;2001-2002
Philadelphia;82;48.1;91.0;34.2;78.5;.436;2.6;8.7;.299;20.0;25.7;.779;13.3;30.9;44.2;20.0;8.6;4.4;15.3;20.0;2001-2002
Memphis;82;48.2;89.9;34.8;79.7;.436;4.1;13.4;.307;16.3;23.0;.708;12.0;29.4;41.4;21.7;7.9;5.9;16.6;19.2;2001-2002
Chicago;82;48.3;89.5;34.3;79.2;.433;3.7;10.6;.346;17.2;23.9;.722;11.3;28.8;40.0;22.2;7.7;4.4;15.5;22.4;2001-2002
Miami;82;48.6;87.2;34.2;77.8;.439;3.8;11.0;.347;15.1;20.8;.724;11.0;31.0;42.0;20.3;6.7;5.5;14.8;22.5;2001-2002
Sacramento;82;49.0;101.7;38.2;85.0;.449;5.8;16.5;.354;19.5;25.3;.771;12.0;33.0;45.0;22.6;9.7;5.3;15.0;19.5;2000-2001
Milwaukee;82;48.2;100.7;38.0;82.9;.458;6.9;18.1;.379;18.0;22.9;.787;11.9;30.5;42.4;22.5;8.2;4.7;13.7;23.5;2000-2001
L.A. Lakers;82;48.5;100.6;37.9;81.5;.465;5.4;15.5;.344;19.4;28.5;.683;13.2;31.5;44.7;23.0;6.9;6.0;14.4;22.8;2000-2001
Dallas;82;48.3;100.5;37.6;81.9;.459;6.3;16.5;.381;18.9;23.8;.794;10.1;31.4;41.5;21.2;7.5;6.0;13.9;23.3;2000-2001
Toronto;82;48.7;97.6;37.2;85.0;.437;5.2;14.2;.369;18.1;24.2;.747;13.6;30.8;44.5;24.4;7.3;6.3;13.2;21.3;2000-2001
Orlando;82;48.7;97.5;36.7;83.8;.438;6.0;16.4;.364;18.0;25.2;.714;13.0;29.9;42.9;22.0;8.2;5.9;15.4;25.3;2000-2001
Minnesota;82;48.4;97.3;38.4;83.8;.458;3.9;11.0;.357;16.6;21.2;.785;12.2;30.1;42.3;25.4;8.3;5.6;14.0;23.2;2000-2001
Seattle;82;48.3;97.3;36.9;81.1;.456;5.7;14.3;.399;17.7;24.2;.732;12.2;29.5;41.7;21.9;8.0;5.0;15.3;21.1;2000-2001
Houston;82;48.4;97.2;35.9;79.2;.453;6.1;17.2;.357;19.3;25.4;.758;11.2;30.8;42.0;19.7;7.2;4.4;14.6;20.2;2000-2001
Utah;82;48.2;97.1;36.1;76.7;.471;4.0;10.4;.381;20.9;27.8;.752;11.5;29.1;40.6;25.7;8.1;5.6;15.8;25.7;2000-2001
Denver;82;48.2;96.6;36.3;83.9;.433;6.2;17.6;.355;17.7;24.0;.737;12.7;31.5;44.2;24.0;6.7;6.6;14.0;22.2;2000-2001
San Antonio;82;48.4;96.2;35.2;76.4;.461;5.4;13.3;.407;20.4;28.5;.715;11.0;33.1;44.1;21.7;6.9;7.0;14.1;18.9;2000-2001
Detroit;82;48.4;95.6;35.6;83.9;.424;4.7;13.6;.350;19.6;27.2;.721;13.5;32.0;45.5;19.9;7.5;5.5;15.9;23.8;2000-2001
Portland;82;48.2;95.4;36.6;78.3;.468;4.5;12.9;.349;17.6;23.2;.762;11.7;30.3;42.0;23.9;8.2;5.1;15.4;21.3;2000-2001
Philadelphia;82;48.4;94.7;35.4;79.1;.447;3.2;9.8;.326;20.7;27.8;.745;13.1;31.7;44.8;20.6;8.4;5.0;15.9;20.4;2000-2001
Boston;82;48.4;94.6;33.8;79.1;.428;7.2;19.9;.363;19.8;26.7;.740;10.9;28.9;39.8;20.8;9.4;4.1;15.7;23.8;2000-2001
Phoenix;82;48.3;94.0;35.9;82.4;.436;4.0;12.9;.315;18.2;24.1;.755;11.8;30.8;42.7;23.2;9.5;5.2;15.4;22.7;2000-2001
Washington;82;48.0;93.2;34.5;78.7;.439;3.4;10.3;.324;20.8;27.4;.759;12.4;28.9;41.3;20.1;7.7;4.7;16.9;23.3;2000-2001
Indiana;82;48.7;92.6;34.5;78.4;.440;4.8;14.1;.342;18.8;24.5;.766;11.2;31.6;42.9;21.5;6.9;5.9;15.3;23.5;2000-2001
Golden State;82;48.2;92.5;35.8;87.5;.409;3.4;11.8;.293;17.4;24.7;.706;16.4;29.1;45.5;21.8;9.0;5.0;15.9;21.1;2000-2001
L.A. Clippers;82;48.9;92.5;35.3;78.9;.448;4.4;13.0;.339;17.4;25.1;.693;11.7;31.2;42.9;19.3;6.0;6.3;15.8;21.6;2000-2001
Cleveland;82;48.4;92.2;35.2;79.7;.442;2.7;8.0;.334;19.0;24.9;.765;12.4;29.8;42.1;20.8;7.8;5.3;16.5;23.2;2000-2001
New Jersey;82;48.1;92.1;33.9;79.9;.425;4.4;13.2;.333;19.9;26.2;.759;11.1;28.5;39.6;19.5;7.9;5.0;14.7;24.2;2000-2001
Charlotte;82;48.5;91.9;34.1;79.3;.431;4.1;12.0;.346;19.5;26.2;.745;12.6;31.8;44.4;23.2;8.1;5.5;14.6;21.4;2000-2001
Vancouver;82;48.2;91.7;35.0;79.7;.439;4.0;11.5;.343;17.8;23.1;.770;10.9;29.6;40.5;23.2;7.1;4.4;15.7;21.1;2000-2001
Atlanta;82;48.1;91.0;35.1;81.3;.431;4.1;11.4;.357;16.8;22.1;.759;12.5;30.4;42.9;19.0;7.7;4.7;16.7;22.7;2000-2001
Miami;82;48.5;88.9;32.9;76.3;.430;5.8;16.9;.345;17.4;22.9;.759;9.9;29.7;39.6;19.9;7.7;3.7;13.7;21.0;2000-2001
New York;82;48.5;88.7;33.6;75.6;.444;4.8;13.6;.351;16.8;21.1;.796;9.4;30.8;40.2;18.5;6.6;4.2;14.5;22.7;2000-2001
Chicago;82;48.4;87.6;33.2;78.2;.424;4.0;11.6;.346;17.2;23.3;.739;11.3;27.6;38.9;22.1;8.2;4.6;15.8;23.2;2000-2001
Sacramento;82;48.3;105.0;40.0;88.9;.450;6.5;20.2;.322;18.5;24.6;.754;12.9;32.1;45.0;23.8;9.6;4.6;16.2;21.1;1999-2000
Detroit;82;48.4;103.5;37.1;80.9;.459;5.4;14.9;.359;23.9;30.6;.781;11.2;30.0;41.2;20.8;8.1;3.3;15.7;24.5;1999-2000
Dallas;82;48.1;101.4;39.0;85.9;.453;6.3;16.2;.391;17.2;21.4;.804;11.4;29.8;41.2;22.1;7.2;5.1;13.7;21.6;1999-2000
Indiana;82;48.1;101.3;37.2;81.0;.459;7.1;18.1;.392;19.9;24.5;.811;10.3;31.9;42.1;22.6;6.8;5.1;14.1;21.8;1999-2000
Milwaukee;82;48.4;101.2;38.7;83.3;.465;4.8;13.0;.369;19.0;24.2;.786;12.4;28.9;41.3;22.6;8.2;4.6;15.0;24.6;1999-2000
L.A. Lakers;82;48.3;100.8;38.3;83.4;.459;4.2;12.8;.329;20.1;28.9;.696;13.6;33.4;47.0;23.4;7.5;6.5;13.9;22.5;1999-2000
Orlando;82;48.2;100.1;38.6;85.5;.452;3.6;10.6;.338;19.2;26.1;.735;14.0;31.0;44.9;20.8;9.1;5.7;17.6;24.0;1999-2000
Houston;82;48.4;99.5;36.6;81.3;.450;7.1;19.8;.358;19.2;26.2;.733;12.3;31.5;43.8;21.6;7.5;5.3;17.4;20.3;1999-2000
Boston;82;48.1;99.3;37.2;83.9;.444;5.1;15.4;.331;19.8;26.5;.745;13.5;29.5;43.0;21.2;9.7;3.5;15.4;27.1;1999-2000
Seattle;82;48.2;99.1;37.9;84.7;.447;6.7;19.6;.339;16.6;23.9;.695;12.7;30.3;43.0;22.9;8.0;4.2;14.2;21.7;1999-2000
Denver;82;48.4;99.0;37.3;84.3;.442;5.7;17.0;.336;18.7;25.8;.724;13.1;31.6;44.7;23.3;6.8;7.5;15.6;23.9;1999-2000
Phoenix;82;48.3;98.9;37.7;82.6;.457;5.6;15.2;.368;17.9;23.6;.759;12.5;31.2;43.7;25.6;9.1;5.3;16.7;24.1;1999-2000
Minnesota;82;48.5;98.5;39.3;84.3;.467;3.0;8.7;.346;16.8;21.6;.780;12.4;30.1;42.5;26.9;7.6;5.4;13.9;23.3;1999-2000
Charlotte;82;48.2;98.4;35.8;79.7;.449;4.1;12.2;.339;22.7;30.0;.758;10.8;32.1;42.9;24.7;8.9;5.9;14.7;20.4;1999-2000
New Jersey;82;48.4;98.0;36.3;83.9;.433;5.8;16.8;.347;19.5;24.9;.784;12.7;28.2;40.9;20.6;8.8;4.8;13.6;23.3;1999-2000
Portland;82;48.2;97.5;36.8;78.4;.470;5.0;13.8;.361;18.8;24.7;.760;11.8;31.2;43.0;23.5;7.7;4.8;15.1;22.7;1999-2000
Toronto;82;48.2;97.2;36.3;83.9;.433;5.2;14.3;.363;19.3;25.2;.765;13.4;29.9;43.3;23.7;8.1;6.6;13.9;24.3;1999-2000
Cleveland;82;48.4;97.0;36.3;82.1;.442;4.2;11.2;.373;20.2;26.9;.750;12.3;30.5;42.8;23.7;8.7;4.4;17.4;27.1;1999-2000
Washington;82;48.3;96.6;36.7;81.5;.451;4.1;10.9;.376;19.1;25.7;.743;13.0;29.7;42.7;21.6;7.2;4.7;16.0;26.2;1999-2000
Utah;82;48.2;96.5;36.1;77.8;.464;4.0;10.4;.385;20.3;26.2;.773;11.4;29.6;41.0;24.9;7.7;5.4;14.9;24.5;1999-2000
San Antonio;82;48.4;96.2;36.0;78.0;.462;4.0;10.8;.374;20.1;27.0;.746;11.3;32.5;43.8;22.2;7.5;6.7;15.0;20.9;1999-2000
Golden State;82;48.2;95.5;36.5;87.1;.420;4.2;13.0;.323;18.3;26.2;.697;15.9;29.7;45.6;22.6;8.9;4.3;15.9;24.9;1999-2000
Philadelphia;82;48.4;94.8;36.5;82.6;.442;2.5;7.8;.323;19.2;27.1;.708;14.0;30.1;44.1;22.2;9.6;4.7;15.7;23.6;1999-2000
Miami;82;48.4;94.4;36.3;78.8;.460;5.4;14.7;.371;16.4;22.3;.736;11.2;31.9;43.2;23.5;7.1;6.4;15.0;23.7;1999-2000
Atlanta;82;48.4;94.3;36.6;83.0;.441;3.1;9.9;.317;18.0;24.2;.743;14.0;31.3;45.3;18.9;6.1;5.6;15.4;21.0;1999-2000
Vancouver;82;48.4;93.9;35.3;78.5;.449;4.0;11.0;.361;19.4;25.1;.774;12.3;28.3;40.6;20.7;7.4;4.2;17.0;22.9;1999-2000
New York;82;48.4;92.1;35.3;77.7;.455;4.3;11.4;.375;17.2;22.0;.781;9.8;30.7;40.5;19.4;6.3;4.3;14.6;24.2;1999-2000
L.A. Clippers;82;48.1;92.0;35.1;82.4;.426;5.2;15.5;.339;16.6;22.3;.746;11.6;29.0;40.6;18.0;7.0;6.0;16.2;22.2;1999-2000
Chicago;82;48.3;84.8;31.3;75.4;.415;4.1;12.6;.329;18.1;25.5;.709;12.6;28.3;40.9;20.1;7.9;4.7;19.0;23.3;1999-2000
Sacramento;50;48.8;100.2;38.4;86.1;.445;5.8;18.9;.308;17.7;25.9;.683;14.1;31.5;45.6;22.6;8.9;4.6;16.8;20.3;1998-1999
L.A. Lakers;50;48.2;99.0;36.8;78.7;.468;4.8;13.7;.352;20.5;30.1;.683;12.4;29.6;42.0;21.9;7.8;5.7;15.1;24.6;1998-1999
