Team;GP;MPG;PPG;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;ORB;DRB;RPG;APG;SPG;BPG;TOV;PF;Season
New Orleans;82;48.4;114.4;42.0;87.6;.480;11.0;30.1;.364;19.3;24.4;.793;10.6;33.1;43.7;25.9;8.3;4.1;14.6;20.5;2022-2023
Philadelphia;82;48.5;115.2;40.8;83.8;.487;12.6;32.6;.387;21.0;25.1;.835;8.7;32.2;40.9;25.2;7.7;4.7;13.7;20.4;2022-2023
Minnesota;82;48.4;115.8;42.9;87.4;.490;12.2;33.3;.365;17.9;23.7;.755;9.1;32.8;41.9;26.2;8.0;5.4;15.3;21.6;2022-2023
Denver;82;48.2;115.8;43.6;86.4;.504;11.8;31.2;.379;16.8;22.4;.751;10.1;32.9;43.0;28.9;7.5;4.5;14.5;18.6;2022-2023
New York;82;48.7;116.0;42.0;89.4;.470;12.6;35.7;.354;19.4;25.5;.761;12.6;34.0;46.6;22.9;6.4;4.1;13.0;20.3;2022-2023
Indiana;82;48.2;116.3;42.0;89.6;.469;13.6;37.0;.367;18.7;23.7;.790;10.1;31.4;41.5;27.0;7.7;5.8;14.9;21.2;2022-2023
Memphis;82;48.2;116.9;43.7;92.1;.475;12.0;34.2;.351;17.5;23.8;.733;12.0;34.6;46.6;26.0;8.3;5.8;13.6;20.0;2022-2023
Milwaukee;82;48.4;116.9;42.7;90.4;.473;14.8;40.3;.368;16.6;22.4;.743;11.1;37.5;48.6;25.8;6.4;4.9;14.6;18.1;2022-2023
Utah;82;48.3;117.1;42.5;89.8;.473;13.3;37.8;.353;18.7;23.8;.786;11.8;34.1;45.9;26.0;6.1;5.2;15.3;20.5;2022-2023
L.A. Lakers;82;48.5;117.2;42.9;89.0;.482;10.8;31.2;.346;20.6;26.6;.775;10.0;35.7;45.7;25.3;6.4;4.6;14.1;17.9;2022-2023
Oklahoma City;82;48.4;117.5;43.1;92.6;.465;12.1;34.1;.356;19.2;23.7;.809;11.4;32.3;43.6;24.4;8.2;4.2;13.0;21.0;2022-2023
Boston;82;48.7;117.9;42.2;88.8;.475;16.0;42.6;.377;17.5;21.6;.812;9.7;35.6;45.3;26.7;6.4;5.2;13.4;18.8;2022-2023
Atlanta;82;48.4;118.4;44.6;92.4;.483;10.8;30.5;.352;18.5;22.6;.818;11.2;33.2;44.4;25.0;7.1;4.9;12.9;18.8;2022-2023
