Team;Dbl Dbl;Tpl Dbl;40 Pts;20 Reb;20 Ast;5 Stl;5 Blk;High Game;MOV;Techs;HOB;Ast/TO;Stl/TO;FT/FGA;W's;L's;Win %;Season
L.A. Clippers;61;2;2;0;0;4;1;143;0.9;42;1.582;1.7;0.5;.258;48;34;.585;2018-2019
Brooklyn;61;1;3;1;0;1;2;148;-0.1;30;1.592;1.6;0.4;.211;42;40;.512;2018-2019
Boston;61;5;2;0;0;9;3;135;4.4;30;1.624;2.0;0.7;.173;49;33;.598;2018-2019
Chicago;53;0;3;0;0;3;1;168;-8.4;25;1.550;1.5;0.5;.184;22;60;.268;2018-2019
Golden State;44;3;15;0;0;3;2;149;6.5;55;1.668;2.1;0.5;.182;57;25;.695;2018-2019
Charlotte;39;1;7;0;0;1;3;135;-1.1;20;1.578;1.9;0.6;.205;39;43;.476;2018-2019
New Orleans;129;25;11;5;1;8;20;139;1.3;25;1.627;1.8;0.5;.183;48;34;.585;2017-2018
Philadelphia;111;17;1;1;0;8;2;132;4.5;30;1.663;1.6;0.5;.198;52;30;.634;2017-2018
Oklahoma City;110;27;7;1;2;12;1;148;3.4;43;1.535;1.5;0.6;.197;48;34;.585;2017-2018
Minnesota;108;5;2;2;0;6;3;138;2.2;23;1.553;1.8;0.7;.225;47;35;.573;2017-2018
Houston;97;10;11;2;0;6;4;148;8.5;32;1.557;1.5;0.6;.233;65;17;.793;2017-2018
Cleveland;94;20;4;0;0;3;0;140;0.9;16;1.579;1.7;0.5;.214;50;32;.610;2017-2018
L.A. Lakers;93;4;0;0;0;4;2;142;-1.5;28;1.584;1.5;0.5;.188;35;47;.427;2017-2018
New York;83;4;2;2;0;3;8;128;-3.6;22;1.573;1.6;0.5;.170;29;53;.354;2017-2018
Detroit;80;4;0;17;0;4;2;131;-0.1;40;1.582;1.7;0.6;.169;39;43;.476;2017-2018
Milwaukee;74;5;6;1;0;9;3;127;-0.3;25;1.585;1.7;0.6;.220;44;38;.537;2017-2018
Charlotte;73;5;5;7;0;0;4;140;0.3;42;1.554;1.7;0.5;.233;36;46;.439;2017-2018
L.A. Clippers;72;2;4;13;0;5;0;130;0.0;36;1.555;1.5;0.5;.222;42;40;.512;2017-2018
Orlando;69;2;3;0;0;3;2;128;-4.8;28;1.604;1.6;0.5;.180;25;57;.305;2017-2018
Utah;69;2;2;0;0;3;6;133;4.3;24;1.586;1.5;0.6;.202;48;34;.585;2017-2018
Toronto;65;4;5;0;0;2;3;133;7.8;34;1.590;1.8;0.6;.198;59;23;.720;2017-2018
Denver;63;10;1;1;0;5;3;146;1.5;18;1.617;1.7;0.5;.198;46;36;.561;2017-2018
San Antonio;62;3;2;0;0;6;3;133;2.9;7;1.583;1.7;0.6;.189;47;35;.573;2017-2018
Indiana;60;3;1;0;0;13;1;140;1.4;16;1.544;1.6;0.6;.173;48;34;.585;2017-2018
Chicago;60;0;0;0;0;3;0;129;-7.0;21;1.607;1.6;0.5;.164;27;55;.329;2017-2018
Washington;59;0;3;0;0;2;0;130;0.6;39;1.631;1.7;0.5;.196;43;39;.524;2017-2018
Phoenix;59;2;4;0;0;3;4;130;-9.4;46;1.553;1.3;0.4;.203;21;61;.256;2017-2018
