Team;Total MIN;EFG%;FTA RATE;TOV%;OREB%;OPP EFG%;OPP FTA RATE;OPP TOV%;OPP OREB%;Season
Minnesota;3961;46.8;0.309;15.6;31.1;53.7;0.246;15.8;31.8;2014-2015
San Antonio;3951;53.7;0.240;15.0;26.1;48.2;0.242;14.4;27.5;2013-2014
Oklahoma City;3961;52.0;0.303;15.8;29.4;48.8;0.304;15.7;27.8;2013-2014
L.A. Clippers;3951;52.6;0.353;14.3;28.8;48.4;0.294;15.8;31.0;2013-2014
Indiana;3956;49.0;0.290;16.2;29.6;46.0;0.261;14.6;27.9;2013-2014
Houston;3966;53.1;0.386;16.5;30.6;48.9;0.255;14.3;30.0;2013-2014
Miami;3976;55.4;0.300;15.9;24.4;51.1;0.283;18.0;31.4;2013-2014
Portland;3971;50.4;0.270;14.2;32.0;48.8;0.253;12.4;28.7;2013-2014
Golden State;3966;51.7;0.247;15.5;28.4;47.7;0.292;15.3;27.6;2013-2014
Memphis;3961;49.4;0.248;15.0;32.6;49.7;0.259;15.5;28.2;2013-2014
Dallas;3966;52.6;0.253;14.1;27.6;51.5;0.303;16.7;30.6;2013-2014
Chicago;3986;47.1;0.290;16.2;32.1;47.1;0.250;15.6;28.7;2013-2014
Phoenix;3951;51.9;0.293;15.8;29.8;49.6;0.309;15.8;30.1;2013-2014
Toronto;3991;49.8;0.306;15.1;31.2;49.3;0.315;15.9;29.9;2013-2014
Brooklyn;3976;51.4;0.313;15.5;26.0;50.9;0.311;16.9;31.4;2013-2014
Washington;4011;50.6;0.248;15.3;28.6;50.4;0.288;16.7;28.1;2013-2014
Charlotte ;3981;48.1;0.297;13.1;26.9;49.1;0.241;14.2;27.0;2013-2014
Minnesota;3971;48.6;0.321;14.0;31.7;51.8;0.233;16.6;28.5;2013-2014
Atlanta ;3966;51.5;0.266;15.9;25.6;51.0;0.262;15.8;28.9;2013-2014
New York;3971;50.5;0.248;14.1;29.1;51.4;0.320;15.8;29.5;2013-2014
Denver;3951;49.7;0.306;16.0;31.0;50.0;0.306;14.5;29.7;2013-2014
New Orleans;3971;49.5;0.286;14.7;30.5;51.5;0.331;15.4;30.6;2013-2014
Cleveland;3986;47.9;0.268;14.9;31.4;50.8;0.263;14.7;28.9;2013-2014
Detroit;3956;48.2;0.296;15.2;34.7;52.0;0.288;15.6;30.7;2013-2014
